code departement,EC_MAT,EC_ELEM,COLL,LYC,CFA
01,0,3,1,1,0
01,1,3,1,0,0
01,2,2,0,1,0
01,2,3,1,1,0
01,2,3,2,4,0
01,2,4,2,4,0
01,2,5,1,0,0
01,3,3,2,2,1
01,3,4,2,2,1
01,3,20,7,7,2
01,3,20,7,8,2
01,9,9,3,1,0
01,11,9,3,1,0
02,0,3,1,1,0
02,0,3,2,1,0
02,2,11,4,8,2
02,2,11,5,7,3
02,4,4,2,1,0
02,4,9,3,4,2
02,5,5,2,2,1
02,5,9,3,4,2
02,5,22,7,9,7
02,5,22,7,10,6
02,6,7,3,4,5
02,6,7,3,4,6
02,6,8,2,0,0
02,6,9,2,0,0
02,8,11,4,4,4
02,8,11,4,4,6
02,8,11,4,4,7
03,1,6,4,4,2
03,6,6,3,1,0
03,7,6,3,2,0
03,7,6,4,4,1
03,7,6,4,4,2
03,7,11,5,5,0
03,8,11,5,6,0
03,11,16,5,5,0
03,11,17,5,5,0
03,11,18,5,5,0
03,12,21,6,5,0
03,12,22,6,5,0
04,0,12,3,4,2
04,0,12,3,4,3
04,0,12,3,5,2
04,4,9,4,4,3
04,4,9,4,6,2
05,3,21,4,5,4
05,3,21,4,5,5
06,0,2,0,1,0
06,1,2,0,1,0
06,4,5,1,1,1
06,4,5,1,1,2
06,5,5,1,0,0
06,5,5,1,0,1
06,10,14,5,5,3
06,10,16,5,6,3
06,17,29,9,9,4
06,17,30,9,9,4
06,18,29,9,12,4
06,66,105,29,23,25
06,66,105,29,23,26
06,66,105,33,35,24
06,68,108,29,23,25
06,68,108,29,23,26
06,68,108,33,35,24
06,75,115,31,23,26
06,75,115,31,23,27
06,75,115,35,35,25
07,3,6,2,3,2
07,3,7,3,4,1
07,3,7,3,4,3
07,3,7,3,4,4
07,4,5,2,2,0
07,4,6,2,2,0
07,6,8,4,4,1
07,6,8,4,4,5
07,7,8,4,4,4
08,0,6,2,1,1
08,2,10,4,4,1
08,8,24,10,7,1
08,8,24,10,7,2
09,1,4,2,3,0
09,1,6,1,1,1
09,3,8,4,3,1
10,1,1,1,0,1
10,1,1,1,0,2
10,2,3,1,0,0
10,2,7,3,2,0
10,12,26,9,11,2
10,14,26,9,11,2
10,15,26,9,14,2
10,20,32,11,11,2
10,22,32,11,11,2
10,23,32,11,14,2
11,2,3,3,1,2
11,3,3,3,2,1
11,3,5,2,1,2
11,15,18,6,3,4
11,15,20,7,4,3
11,15,21,7,4,3
11,15,21,8,5,3
11,16,18,6,6,3
12,1,5,2,0,1
12,3,5,2,4,1
13,1,1,1,0,0
