code departement,ABCDE_H,ABCDE_F,ABCDE,ABC_FR,ABC_E,ABC_2649,ABC_DUR2,ABC_25,A_F
01,196,199,395,245,107,235,66,55,90
01,214,196,410,264,111,234,74,68,91
01,235,208,443,264,127,253,70,59,116
01,302,292,594,445,88,301,85,106,144
01,308,302,610,441,89,306,102,105,135
01,360,302,662,482,101,333,123,107,141
01,362,336,698,460,204,449,126,52,243
01,376,351,727,507,174,435,123,72,248
01,411,405,816,580,182,519,139,84,263
01,414,444,858,604,179,533,156,81,285
01,447,436,883,674,109,444,146,147,206
01,463,441,904,710,100,469,136,145,190
01,479,425,904,611,244,576,190,77,295
01,503,482,985,684,233,626,187,77,346
01,510,464,974,752,117,504,161,153,230
01,725,923,1648,1184,271,869,256,256,476
01,745,887,1632,1230,249,874,258,299,484
01,810,953,1763,1256,295,907,267,302,503
01,1553,1378,2931,1700,945,1632,447,402,673
01,1571,1435,3006,1677,997,1636,495,413,706
01,1680,1453,3133,1758,1065,1664,512,466,741
01,2443,2339,4782,3065,1081,2441,715,678,1208
01,2512,2396,4908,3282,1069,2576,810,786,1208
01,2622,2406,5028,3171,1155,2554,780,727,1278
02,229,227,456,,,246,58,84,144
02,232,214,446,392,13,227,64,80,134
02,244,224,468,404,20,262,69,66,142
02,580,676,1256,1064,121,662,187,246,381
02,594,681,1275,1060,128,678,192,229,363
02,611,694,1305,1082,140,693,175,228,384
02,645,626,1271,1081,37,621,170,232,387
02,674,606,1280,1088,27,587,195,267,402
02,693,610,1303,1124,23,633,190,250,388
02,752,799,1551,1314,81,782,230,259,444
02,788,850,1638,1351,80,792,224,257,485
02,794,843,1637,1378,70,804,241,300,505
02,947,907,1854,1614,72,946,265,309,509
02,964,938,1902,1639,69,947,277,318,524
02,975,914,1889,1694,47,973,267,345,546
02,1102,1185,2287,1641,403,1227,365,337,666
02,1116,1200,2316,1583,418,1188,357,329,667
02,1146,1215,2361,1732,355,1265,404,345,677
02,1998,1765,3763,2907,350,1894,564,584,1046
02,2032,1845,3877,3025,386,1973,568,600,1138
02,2060,1847,3907,3034,318,1980,542,606,1082
02,2227,2021,4248,3081,704,2181,631,611,1165
02,2281,2029,4310,3178,698,2225,574,633,1176
02,2290,2037,4327,3113,789,2241,675,623,1266
02,4106,3766,7872,6634,577,4083,1128,1488,2295
02,4164,3806,7970,6641,593,4178,1073,1377,2245
02,4223,3827,8050,6831,558,4206,1088,1555,2238
03,1330,1180,2510,1940,284,1244,389,420,659
03,1354,1172,2526,1927,268,1237,364,437,619
03,1412,1250,2662,2103,234,1337,365,451,680
