code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
94,2337,31256,10.7,82.7,15.1,26.1,8.4
77,570,26570,11.6,82.7,9.6,25,7.8
92,2151,30583,11.7,85.6,10.9,23.8,8.2
78,342,30890,12.7,94.1,8.8,17.1,8.2
78,646,26064,12.7,78,8,29.9,8.2
44,1276,24834,14,72.7,11.1,31.3,8.8
95,1511,26474,14,86.4,7.6,22.4,9.6
69,391,24440,14.1,74.8,11.3,28.3,8.2
59,1788,26990,14.4,78.4,16.8,24.9,9.5
69,964,25020,14.5,73.8,12.5,29.1,8.6
33,1180,24396,14.8,71.5,10.9,33,9.8
59,1259,25734,14.9,80.6,10.9,26,10.1
59,521,24488,15,73.7,12.3,29.3,10.3
78,1117,24714,16.2,86,6.1,22.2,11
63,951,21840,16.4,65.8,9.7,36.4,10
95,1228,23952,16.5,82.4,7.3,25.1,11.3
91,1329,26256,16.5,80.5,9.9,27.6,11.5
78,475,27072,16.6,89.4,8.1,20.6,11.2
25,909,23098,17,81.1,9,23.8,10.8
33,3449,22554,17,79,8.6,26.2,11.1
95,726,24804,17.3,82,9.5,25.8,11.9
95,1305,24590,17.4,82.9,7.1,24.2,11.3
77,1330,23686,17.4,83,9.1,23.9,12
91,2241,25104,17.4,82.6,7.7,25.5,12.4
29,903,20568,17.8,57.7,12.6,41.6,11.7
33,3665,23498,17.8,77,8.8,27.8,11.7
31,1225,23000,17.9,79.2,8.9,24.9,11.8
78,1322,23770,18,93.7,5.2,14.5,10.5
57,337,19880,18.1,50.5,26.5,28.1,12.8
78,1554,23990,18.1,87.1,6.4,20.8,11.8
31,1611,24008,18.1,82.2,9.8,22,11.5
92,1485,24925,18.4,85.3,9.4,23.2,12.1
44,2906,21109,18.5,75.8,7.3,26.7,11.5
33,1570,21824,18.6,77.4,8.5,25.9,12.3
40,496,21036,18.7,71,8,31.4,12.4
91,531,22630,18.7,79.1,7.2,27.3,12.3
60,533,20810,18.7,76.7,6.6,27.4,11.1
74,1577,22428,18.7,76.2,11.1,25.6,12.2
77,1394,22254,18.9,86.3,5,20.1,12.4
22,584,19896,19.1,65.1,8.2,35.7,11.1
69,1946,21332,19.3,74.7,9,27.6,11.9
77,943,22544,19.5,73.6,8.9,31.7,14.2
74,476,22078,19.6,84.5,8,18.1,12.3
74,614,31630,19.6,88.3,8.2,15.7,14.6
54,712,21542,19.7,70.8,9.6,32.3,13.8
13,7563,23736,19.7,73.5,15.8,27.8,14.1
79,1270,18982,19.8,69.1,10.9,28.9,12.7
67,1340,22378,19.8,72.3,10.5,30.7,13.2
13,1345,20678,19.9,73.6,8.8,27.3,12.3
95,2028,22470,19.9,83.9,5.8,23.8,13.8
73,1301,21094,20.1,63.7,14.2,34.9,12.7
06,720,22714,20.2,68.6,15.7,31.7,14.7
91,1303,22576,20.2,79.9,6.4,26.7,14.2
33,2195,20656,20.2,78.6,7.1,24.6,13.4
78,3192,23234,20.4,84.5,7.2,21.4,13.3
57,1219,21912,20.5,42,39.7,24.2,14.1
35,2722,20792,20.5,57.2,14.3,41.1,12.8
56,812,19444,20.6,68.6,7.1,32.9,13.2
17,1403,20736,20.6,39.5,16.9,56.5,13.5
91,1832,22320,20.7,85,6.1,21.1,12.6
91,1369,22348,20.8,83.7,6.2,23.5,13.9
67,2288,20850,20.8,75.1,10.1,26.9,13.5
12,775,20374,20.9,68.6,12.4,30.8,13.8
94,1616,24018,20.9,87.6,8.1,20.6,14.6
13,3236,20674,20.9,75.2,7.6,27.2,13.4
